Number of Clients,Total turn-around time,Average turn-around time
50,808500.0,16170.0
50,809989.0,16199.78
50,811478.0,16229.56
50,812967.0,16259.34
50,814456.0,16289.12
50,815945.0,16318.9
50,817434.0,16348.68
50,818923.0,16378.46
50,820412.0,16408.24
50,821901.0,16438.02
50,823390.0,16467.8
50,824879.0,16497.58
50,826368.0,16527.36
50,827857.0,16557.14
50,829346.0,16586.92
50,830835.0,16616.7
50,832324.0,16646.48
50,833813.0,16676.26
50,835302.0,16706.04
50,836791.0,16735.82
50,838280.0,16765.6
50,839769.0,16795.38
50,841258.0,16825.16
50,842747.0,16854.94
50,844236.0,16884.72
50,845725.0,16914.5
50,847214.0,16944.28
50,848703.0,16974.06
50,850192.0,17003.84
50,851681.0,17033.62
50,853170.0,17063.4
50,854659.0,17093.18
50,856148.0,17122.96
50,857637.0,17152.74
50,859126.0,17182.52
50,860615.0,17212.3
50,862104.0,17242.08
50,863593.0,17271.86
50,865082.0,17301.64
50,866571.0,17331.42
50,868060.0,17361.2
50,869549.0,17390.98
50,871038.0,17420.76
50,872527.0,17450.54
50,874016.0,17480.32
50,875505.0,17510.1
50,876994.0,17539.88
50,878483.0,17569.66
50,879972.0,17599.44
50,881461.0,17629.22
50,882950.0,17659.0
50,884439.0,17688.78
50,885928.0,17718.56
50,887417.0,17748.34
50,888906.0,17778.12
50,890395.0,17807.9
50,891884.0,17837.68
50,893373.0,17867.46
50,894862.0,17897.24
50,896351.0,17927.02
50,897840.0,17956.8
50,899329.0,17986.58
50,900818.0,18016.36
50,902307.0,18046.14
50,903796.0,18075.92
50,905285.0,18105.7
50,906774.0,18135.48
50,908263.0,18165.26
50,909752.0,18195.04
50,911241.0,18224.82
50,912730.0,18254.6
50,914219.0,18284.38
50,915708.0,18314.16
50,917197.0,18343.94
50,918686.0,18373.72
50,920175.0,18403.5
50,921664.0,18433.28
50,923153.0,18463.06
50,924642.0,18492.84
50,926131.0,18522.62
50,927620.0,18552.4
50,929109.0,18582.18
50,930598.0,18611.96
50,932087.0,18641.74
50,933576.0,18671.52
50,935065.0,18701.3
50,936554.0,18731.08
50,938043.0,18760.86
50,939532.0,18790.64
50,941021.0,18820.42
50,942510.0,18850.2
50,943999.0,18879.98
50,945488.0,18909.76
50,946977.0,18939.54
50,948466.0,18969.32
50,949955.0,18999.1
50,951444.0,19028.88
50,952933.0,19058.66
50,954422.0,19088.44
50,955911.0,19118.22
50,957400.0,19148.0
50,958889.0,19177.78
50,960378.0,19207.56
50,961867.0,19237.34
50,963356.0,19267.12
50,964845.0,19296.9
50,966334.0,19326.68
50,967823.0,19356.46
50,969312.0,19386.24
50,970801.0,19416.02
50,972290.0,19445.8
50,973779.0,19475.58
50,975268.0,19505.36
50,976757.0,19535.14
50,978246.0,19564.92
50,979735.0,19594.7
50,981224.0,19624.48
50,982713.0,19654.26
50,984202.0,19684.04
50,985691.0,19713.82
50,987180.0,19743.6
50,988669.0,19773.38
50,990158.0,19803.16
50,991647.0,19832.94
50,993136.0,19862.72
50,994625.0,19892.5
50,996114.0,19922.28
50,997603.0,19952.06
50,999092.0,19981.84
50,1000581.0,20011.62
50,1002070.0,20041.4
50,1003559.0,20071.18
50,1005048.0,20100.96
50,1006537.0,20130.74
50,1008026.0,20160.52
50,1009515.0,20190.3
50,1011004.0,20220.08
50,1012493.0,20249.86
50,1013982.0,20279.64
50,1015471.0,20309.42
50,1016960.0,20339.2
50,1018449.0,20368.98
50,1019938.0,20398.76
50,1021427.0,20428.54
50,1022916.0,20458.32
50,1024405.0,20488.1
50,1025894.0,20517.88
50,1027383.0,20547.66
50,1028872.0,20577.44
50,1030361.0,20607.22
50,1031850.0,20637.0
50,1033339.0,20666.78
50,1034828.0,20696.56
50,1036317.0,20726.34
50,1037806.0,20756.12
50,1039295.0,20785.9
50,1040784.0,20815.68
50,1042273.0,20845.46
50,1043762.0,20875.24
50,1045251.0,20905.02
50,1046740.0,20934.8
50,1048229.0,20964.58
50,1049718.0,20994.36
50,1051207.0,21024.14
50,1052696.0,21053.92
50,1054185.0,21083.7
50,1055674.0,21113.48
50,1057163.0,21143.26
50,1058652.0,21173.04
50,1060141.0,21202.82
50,1061630.0,21232.6
50,1063119.0,21262.38
50,1064608.0,21292.16
50,1066097.0,21321.94
50,1067586.0,21351.72
50,1069075.0,21381.5
50,1070564.0,21411.28
50,1072053.0,21441.06
50,1073542.0,21470.84
50,1075031.0,21500.62
50,1076520.0,21530.4
50,1078009.0,21560.18
50,1079498.0,21589.96
50,1080987.0,21619.74
50,1082476.0,21649.52
50,1083965.0,21679.3
50,1085454.0,21709.08
50,1086943.0,21738.86
50,1088432.0,21768.64
50,1089921.0,21798.42
50,1091410.0,21828.2
50,1092899.0,21857.98
50,1094388.0,21887.76
50,1095877.0,21917.54
50,1097366.0,21947.32
50,1098855.0,21977.1
50,1100344.0,22006.88
50,1101833.0,22036.66
50,1103322.0,22066.44
50,1104811.0,22096.22
50,1106300.0,22126.0
50,1107789.0,22155.78
50,1109278.0,22185.56
50,1110767.0,22215.34
50,1112256.0,22245.12
50,1113745.0,22274.9
50,1115234.0,22304.68
50,1116723.0,22334.46
50,1118212.0,22364.24
50,1119701.0,22394.02
50,1121190.0,22423.8
50,1122679.0,22453.58
50,1124168.0,22483.36
50,1125657.0,22513.14
50,1127146.0,22542.92
50,1128635.0,22572.7
50,1130124.0,22602.48
50,1131613.0,22632.26
50,1133102.0,22662.04
50,1134591.0,22691.82
50,1136080.0,22721.6
50,1137569.0,22751.38
50,1139058.0,22781.16
50,1140547.0,22810.94
50,1142036.0,22840.72
50,1143525.0,22870.5
50,1145014.0,22900.28
50,1146503.0,22930.06
50,1147992.0,22959.84
50,1149481.0,22989.62
50,1150970.0,23019.4
50,1152459.0,23049.18
50,1153948.0,23078.96
50,1155437.0,23108.74
50,1156926.0,23138.52
50,1158415.0,23168.3
50,1159904.0,23198.08
50,1161393.0,23227.86
50,1162882.0,23257.64
50,1164371.0,23287.42
50,1165860.0,23317.2
50,1167349.0,23346.98
50,1168838.0,23376.76
50,1170327.0,23406.54
50,1171816.0,23436.32
50,1173305.0,23466.1
50,1174794.0,23495.88
50,1176283.0,23525.66
50,1177772.0,23555.44
50,1179261.0,23585.22
50,1180750.0,23615.0
50,1182239.0,23644.78
50,1183728.0,23674.56
50,1185217.0,23704.34
50,1186706.0,23734.12
50,1188195.0,23763.9
50,1189684.0,23793.68
50,1191173.0,23823.46
50,1192662.0,23853.24
50,1194151.0,23883.02
50,1195640.0,23912.8
50,1197129.0,23942.58
50,1198618.0,23972.36
50,1200107.0,24002.14
50,1201596.0,24031.92
50,1203085.0,24061.7
50,1204574.0,24091.48
50,1206063.0,24121.26
50,1207552.0,24151.04
50,1209041.0,24180.82
50,1210530.0,24210.6
50,1212019.0,24240.38
50,1213508.0,24270.16
50,1214997.0,24299.94
50,1216486.0,24329.72
50,1217975.0,24359.5
50,1219464.0,24389.28
50,1220953.0,24419.06
50,1222442.0,24448.84
50,1223931.0,24478.62
50,1225420.0,24508.4
50,1226909.0,24538.18
50,1228398.0,24567.96
50,1229887.0,24597.74
50,1231376.0,24627.52
50,1232865.0,24657.3
50,1234354.0,24687.08
50,1235843.0,24716.86
50,1237332.0,24746.64
50,1238821.0,24776.42
50,1240310.0,24806.2
50,1241799.0,24835.98
50,1243288.0,24865.76
50,1244777.0,24895.54
50,1246266.0,24925.32
50,1247755.0,24955.1
50,1249244.0,24984.88
50,1250733.0,25014.66
50,1252222.0,25044.44
50,1253711.0,25074.22
50,1255200.0,25104.0
50,1256689.0,25133.78
50,1258178.0,25163.56
50,1259667.0,25193.34
50,1261156.0,25223.12
50,1262645.0,25252.9
50,1264134.0,25282.68
50,1265623.0,25312.46
50,1267112.0,25342.24
50,1268601.0,25372.02
50,1270090.0,25401.8
50,1271579.0,25431.58
50,1273068.0,25461.36
50,1274557.0,25491.14
